rank,track_name,artist_name,release_date,duration,song_popularity,album_name,album_img,track_uri,artist_uri,album_uri
1,Side Effects,cehryl,9/14/17,176917,36,Side Effects,https://i.scdn.co/image/ab67616d0000b273ef4466d4555d539c73ac3321,spotify:track:21Wmv5UWeFRYil2WwHd25v,spotify:artist:0bBrsS9ufPAmeFQgDNG54O,spotify:album:1bWdbxry2m4AcFErABro6b
2,Lil Secret,Jack Harlow,5/6/22,129565,67,Come Home The Kids Miss You,https://i.scdn.co/image/ab67616d0000b2738e55edb69ca44a25b52b17bb,spotify:track:29SR6SFfjQJoddfmimHbQh,spotify:artist:2LIk90788K0zvyj2JJVwkJ,spotify:album:2eE8BVirX9VF8Di9hD90iw
3,No Fear No More (Remix),Madeon,7/7/20,174682,50,No Fear No More (Remix),https://i.scdn.co/image/ab67616d0000b273ad8dfaa754c34043b4a2979f,spotify:track:36X1P3v7N1dv06bh2aPtMF,spotify:artist:4pb4rqWSoGUgxm63xmJ8xc,spotify:album:23NyPBINwg9BI8WgtgEu5t
4,raw,LOONY,1/14/21,186432,51,raw,https://i.scdn.co/image/ab67616d0000b273f4c4fc3bd28c76abfd72d2f3,spotify:track:2bGd94PnM9kaQOCxOrIDh8,spotify:artist:0xSfdfhcXN6T8M5gt7VwK0,spotify:album:4Hofq1L0O8op3NV454YqoC
5,Topaz (It's Gonna Be Ok),Bad Snacks,4/10/20,108837,17,Neat Tape 2,https://i.scdn.co/image/ab67616d0000b2734335ab9a2cfba86048827307,spotify:track:2XH0YybKF1ooWM1BtmWJ7d,spotify:artist:5gZDpKtrxDf0ULvDuhLMZy,spotify:album:1Z44EYLO9CxP70WxfccYaJ
6,"Cheesin’ (with Cautious Clay, Remi Wolf, Still Woozy, Sophie Meiers, Claud, Melanie Faye, & HXNS)",Cautious Clay,4/22/20,138000,61,Cheesin',https://i.scdn.co/image/ab67616d0000b273c9041c54ada6448f089fecd8,spotify:track:6lIRYe72fn1pf7TNqfI0ul,spotify:artist:6iWuBN32BqCJAeXW6o3nil,spotify:album:6VA0Ybh6uHkRpCf1pKhlzh
7,Song for Misato,Bad Snacks,4/10/20,169263,18,Neat Tape 2,https://i.scdn.co/image/ab67616d0000b2734335ab9a2cfba86048827307,spotify:track:6k1ILLSABrIErywTiE0gGQ,spotify:artist:5gZDpKtrxDf0ULvDuhLMZy,spotify:album:1Z44EYLO9CxP70WxfccYaJ
8,I Can See,Mac Miller,1/17/20,220853,60,Circles,https://i.scdn.co/image/ab67616d0000b27326b7dd89810cc1a40ada642c,spotify:track:3R8CyhJfVjvgIROd5RSGhQ,spotify:artist:4LLpKhyESsyAXpc4laK94U,spotify:album:5sY6UIQ32GqwMLAfSNEaXb
9,Window,Still Woozy,4/17/20,139293,64,Window,https://i.scdn.co/image/ab67616d0000b273fee5f7b500e33768601719bb,spotify:track:3hARuUtzTdUuWH1KiLJlSf,spotify:artist:4iMO20EPodreIaEl8qW66y,spotify:album:4JxgricHyH0BbMUaefAHfR
10,Best Me,Sylvan LaCue,1/12/18,251076,44,Apologies in Advance,https://i.scdn.co/image/ab67616d0000b2731a277d8042aa6ddf9481f1d2,spotify:track:4j8NMLIzPyNtGDmVBcz5ER,spotify:artist:0JuDxOwz1e3Wx05t8e3AT3,spotify:album:2tvSJNXlpJNnkcGDhMVZmO
11,Flight 99,Masego,11/15/19,167142,58,Flight 99,https://i.scdn.co/image/ab67616d0000b273dc4ae7eec5647789fe3251a1,spotify:track:5z2XleKRbvbiytGucM5v2D,spotify:artist:3ycxRkcZ67ALN3GQJ57Vig,spotify:album:45IpQ6F0GYcas0yFGMzvac
12,The Quiet Season,Bad Snacks,12/3/18,121271,16,The Quiet Season,https://i.scdn.co/image/ab67616d0000b273e43ecd25c9311c9a422d4aa1,spotify:track:2jd3yP5WCKmYTMru42yapp,spotify:artist:5gZDpKtrxDf0ULvDuhLMZy,spotify:album:4VFbdo4mg8me2qm9iMt5Kj
13,Blue Cellophane,BabyJake,7/31/20,181026,42,"Don't give me problems, give me wine",https://i.scdn.co/image/ab67616d0000b27313495130dccead15dfd71cfb,spotify:track:6U3jdIzJIwr0mbwVTGPPFp,spotify:artist:07Asx51VtMw5kbNXKrpZlq,spotify:album:0zdCctCFiHeLyZ4mzV7aY8
14,Flutter,Beau Diako,10/4/19,192317,0,Flutter,https://i.scdn.co/image/ab67616d0000b273f78e8a868834b94322109761,spotify:track:2OniwRnM4rjRGFEDGsoJWP,spotify:artist:3W02sTifN8tW1bapAkS1hu,spotify:album:4tKv3harZx5t9DXBj8bXMi
15,Mom's Whiskey (feat. Kota the Friend),Marlon Craft,3/25/20,218250,53,Mom's Whiskey (feat. Kota the Friend),https://i.scdn.co/image/ab67616d0000b273f6037e60e599b0fde6cf37ff,spotify:track:3ZPqsNlUyRHebbc6r5gSDD,spotify:artist:7MigDh04CCntQbsBvugEmb,spotify:album:7gWNDp9KaqnR03wUKf5XPM
16,What’s Next,Drake,3/5/21,178153,77,Scary Hours 2,https://i.scdn.co/image/ab67616d0000b2738b20e4631fa15d3953528bbc,spotify:track:3aQem4jVGdhtg116TmJnHz,spotify:artist:3TVXtAsR1Inumwj472S9r4,spotify:album:5LuoozUhs2pl3glZeAJl89
17,"Oh, Okay",Bad Snacks,4/10/20,130048,17,Neat Tape 2,https://i.scdn.co/image/ab67616d0000b2734335ab9a2cfba86048827307,spotify:track:3Os8YcbQ5hr5kEDcc1tPC9,spotify:artist:5gZDpKtrxDf0ULvDuhLMZy,spotify:album:1Z44EYLO9CxP70WxfccYaJ
18,40oz,Polyphia,7/14/17,233818,60,The Most Hated,https://i.scdn.co/image/ab67616d0000b273c87f0133365b6e731ce4fb6f,spotify:track:3v3VFa7Dt32gNR27jfw7DG,spotify:artist:4vGrte8FDu062Ntj0RsPiZ,spotify:album:0zFqkobYDLzAAHbK2lgc68
19,Good Days,SZA,12/25/20,279204,82,Good Days,https://i.scdn.co/image/ab67616d0000b2733097b1375ab17ae5bf302a0a,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,spotify:album:781cKhbTPwLnPmo9BALQl7
20,Waves,Young the Giant,1/17/14,278773,41,Mind Over Matter,https://i.scdn.co/image/ab67616d0000b2735d1a1b0e0f3e0fc586393092,spotify:track:0PyfyHGrokiV8lUOTyuC0G,spotify:artist:4j56EQDQu5XnL7R3E9iFJT,spotify:album:3cSzKBfylctgJwqorcNEo2
21,Shiver,Lucy Rose,9/17/13,233013,47,Like I Used To (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273e4b8734f77d9f04f3a4be220,spotify:track:1ODA4mZMaoBzT1TbPBW8B1,spotify:artist:2uvY5pgdD9t1CZ5zMNw1rl,spotify:album:6ZKC2f7C1xnBYJAoRLBha3
22,Look@Ugo,Mosie,3/14/18,251477,50,Tangerine,https://i.scdn.co/image/ab67616d0000b2733af0e5a784549fecf34a72c7,spotify:track:2M20XMZy2XmRpYE2aNQhZR,spotify:artist:6HGNvZKlT5TO7y4aJbDHql,spotify:album:6xXlKONL3IHIipu3RMrk4p
23,Peng Black Girls Remix,ENNY,12/1/20,206000,61,Peng Black Girls Remix,https://i.scdn.co/image/ab67616d0000b273d3a770c887f67daa33896615,spotify:track:2VXcVF8k3GXCFfKu7azVvw,spotify:artist:3qEnCAnX23lvoxZYtBiPgL,spotify:album:2QxcjTyF3LyINtiAyhhWt4
24,Goose,Polyphia,7/14/17,255454,58,The Most Hated,https://i.scdn.co/image/ab67616d0000b273c87f0133365b6e731ce4fb6f,spotify:track:2v7iJcMoQcN40fK9XEb42q,spotify:artist:4vGrte8FDu062Ntj0RsPiZ,spotify:album:0zFqkobYDLzAAHbK2lgc68
25,Who's Feelin' Tuff?,Bad Snacks,4/10/20,139534,17,Neat Tape 2,https://i.scdn.co/image/ab67616d0000b2734335ab9a2cfba86048827307,spotify:track:3lg9xBXojI75dfZrpdfLT8,spotify:artist:5gZDpKtrxDf0ULvDuhLMZy,spotify:album:1Z44EYLO9CxP70WxfccYaJ
26,Low Battery,Bad Snacks,4/10/20,82903,17,Neat Tape 2,https://i.scdn.co/image/ab67616d0000b2734335ab9a2cfba86048827307,spotify:track:6ZPM18HhzLaudl6ePe7p0R,spotify:artist:5gZDpKtrxDf0ULvDuhLMZy,spotify:album:1Z44EYLO9CxP70WxfccYaJ
27,Tek It,Cafuné,11/5/19,191584,44,Tek It/Friction,https://i.scdn.co/image/ab67616d0000b27332ccf5515a07cae20cfc86e8,spotify:track:15oIDe2OKJu4qxJT9Zoy1B,spotify:artist:581C5Qwl87TskfBEzuoisu,spotify:album:7fLMcTzGDk4NnHRMEGDyui
28,BOP,DaBaby,9/27/19,159714,77,KIRK,https://i.scdn.co/image/ab67616d0000b273f2b94b2fda4f08836d6371ba,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,spotify:artist:4r63FhuTkUYltbVAg5TQnk,spotify:album:1NsTSXjVNE7XmZ8PmyW0wl
29,Go Crazy,Chris Brown,5/8/20,176960,78,Slime & B,https://i.scdn.co/image/ab67616d0000b27363e0ddbb488d0eeec0e738fc,spotify:track:1IIKrJVP1C9N7iPtG6eOsK,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,spotify:album:7fZKtzZAsfH0kzeTivu5TG
30,Blue World,Mac Miller,1/17/20,209440,76,Circles,https://i.scdn.co/image/ab67616d0000b27326b7dd89810cc1a40ada642c,spotify:track:2hwOoMtWPtTSSn6WHV7Vp5,spotify:artist:4LLpKhyESsyAXpc4laK94U,spotify:album:5sY6UIQ32GqwMLAfSNEaXb
31,Slow Down,Trip Carter,6/7/19,182142,35,Slow Down,https://i.scdn.co/image/ab67616d0000b2730ef17474bbf63c4449496632,spotify:track:0MWVlLTtQPPxctFTQ48Mof,spotify:artist:2bNkF5WGgymQPAqsdyxGH1,spotify:album:5nrZvrYRWL9j7QjcTGziP9
32,Hole In My Heart (with Livingston),Louis The Child,10/1/21,171326,0,Hole In My Heart (with Livingston),https://i.scdn.co/image/ab67616d0000b273f96fc7727c026a4ddb107730,spotify:track:41Y7wg44LExNcd9HeEFgph,spotify:artist:7wg1qvie3KqDNQbAkTdbX0,spotify:album:0RM6bfBqNc2f12fLS7iiPM
33,Way Out,FKJ,6/10/22,200213,54,V I N C E N T,https://i.scdn.co/image/ab67616d0000b273b77e403d4c0dd101e95a12f3,spotify:track:54vmnIj6yLipSrw1KMK3zg,spotify:artist:2FwDTncULUnmANIh7qKa5z,spotify:album:5OUJEZppb5mHHwR5Uw0rzw
34,Thoughts from a Balcony,Mac Miller,3/23/12,185779,64,Macadelic (Remastered Edition),https://i.scdn.co/image/ab67616d0000b273908afd2dae7320208da889fd,spotify:track:79VMlcpvgHkxz0xwsTfc9d,spotify:artist:4LLpKhyESsyAXpc4laK94U,spotify:album:7nVdkG4gZZxB1I1RLN27fJ
35,iFeel,((( O ))),8/27/20,269638,46,((( 2 ))),https://i.scdn.co/image/ab67616d0000b2736f6f54326b547bd91b6c412b,spotify:track:7ilx6MENwjH6tUEt9kOH4S,spotify:artist:5rBFU1rhgs1nNghopuj9k8,spotify:album:3oTm4bLIjyXK7IcO7o0WSI
36,CROWN,CHIKA,3/13/20,175836,45,INDUSTRY GAMES,https://i.scdn.co/image/ab67616d0000b273a4bd1820c34c24c2f6a31514,spotify:track:7yewACUEo8jX7oLhSaNzBs,spotify:artist:6UtYvUtXnmg5EtllDFlWp8,spotify:album:0tTGA5SQN17ewHMpisb0n0
37,Hallucinogenics - Vallis Alps Remix,Matt Maeson,2/4/16,190016,59,The Remixes,https://i.scdn.co/image/ab67616d0000b27371c8d2956ba0948550ce9b35,spotify:track:5BcgMsAhoEgR6nmZHhAZEg,spotify:artist:7gHscNMDI8FF8pcgrV8eIn,spotify:album:6zlL9iPoskUac2lsMN1r00
38,ruminate,slenderbodies,9/20/19,193773,42,komorebi,https://i.scdn.co/image/ab67616d0000b2736fb36b767889fd227d6d7ffc,spotify:track:5GA7lb2ezcO3K8YAuJ2eq6,spotify:artist:3S4d3YRNGg2OhnNm3QvfhA,spotify:album:6JZtYt3v32a9sTRxPlMZEn
39,Hallucinogenics,Matt Maeson,4/5/19,187173,69,Bank On The Funeral,https://i.scdn.co/image/ab67616d0000b273361d711120142f467651a312,spotify:track:6bLU8e0LGyztE9iD5DWBQ1,spotify:artist:7gHscNMDI8FF8pcgrV8eIn,spotify:album:3IQhe9N4j1tXTwKlhT2FsL
40,Learn to Fly,FKJ,7/21/14,268170,54,Take Off,https://i.scdn.co/image/ab67616d0000b273bfaee46637906da1506c07be,spotify:track:0IjCJNyvBcbC2XV2mwehuO,spotify:artist:2FwDTncULUnmANIh7qKa5z,spotify:album:5OcN75jhxA156Jg60s88eP
41,Phone Numbers,Dominic Fike,7/4/19,146826,72,Phone Numbers,https://i.scdn.co/image/ab67616d0000b2731047fa3fb0151cf803d9c696,spotify:track:3f9Mzvd3URfbbIJBX4pz9Z,spotify:artist:6USv9qhCn6zfxlBQIYJ9qs,spotify:album:6RhSCF1Z3g95Q1rZWqpUdT
42,Soiree,Ark Patrol,5/5/16,185898,28,Soiree,https://i.scdn.co/image/ab67616d0000b273f6eb6c04bc48c67bd5428988,spotify:track:1HHv4KeSjn5VFIPQ4hd39c,spotify:artist:3zaxUd86U92CdZkNa6NUo9,spotify:album:2nD3t131rgxgAppgB8nI2y
43,Ballin' (with Roddy Ricch),Mustard,6/28/19,180434,79,Perfect Ten,https://i.scdn.co/image/ab67616d0000b27393b1e96fad758869d0974162,spotify:track:3QzAOrNlsabgbMwlZt7TAY,spotify:artist:0YinUQ50QDB7ZxSCLyQ40k,spotify:album:2WrNHOba5u6P9S9xEboaUy
44,Still Lovely,Banes World,6/4/16,117375,0,Drowsy,https://i.scdn.co/image/ab67616d0000b2737632811e20072fe3a59c444d,spotify:track:02rdJEj79nn2HCSMmsb8dY,spotify:artist:5BCnLrqpwYtufR1bDWn0hG,spotify:album:5bo68qHIH6DqSGqmJs6Yky
45,Song for QT,Bad Snacks,4/10/20,139746,15,Neat Tape 2,https://i.scdn.co/image/ab67616d0000b2734335ab9a2cfba86048827307,spotify:track:38JdARcyOkJn2FaHIzjYur,spotify:artist:5gZDpKtrxDf0ULvDuhLMZy,spotify:album:1Z44EYLO9CxP70WxfccYaJ
46,immortal - Snakehips Remix,Elley Duhe,6/30/17,189000,38,immortal (Snakehips Remix),https://i.scdn.co/image/ab67616d0000b273e7427935cc0605ea2b7abf36,spotify:track:52aLcfyEf3NvnxwlrluEB0,spotify:artist:67MNhiAICFY6Pwc2YxCO0K,spotify:album:1hdWXbfKZ2oIe6vtTRZSFf
47,So Good,Destiny's Child,7/27/99,193933,55,The Writing's On The Wall,https://i.scdn.co/image/ab67616d0000b2733718df75b57340c1947747e8,spotify:track:1pLJSpfeHXsIyJS1BmKrrr,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,spotify:album:283NWqNsCA9GwVHrJk59CG
48,Breeze,Marius,8/9/19,213173,43,Makeshift,https://i.scdn.co/image/ab67616d0000b273a5b8accd5ea4933dd80ecc5e,spotify:track:4Exwb3OMn3WLkAPMwb0BCa,spotify:artist:0dXCvd6lpLfZBKTFjUF1R3,spotify:album:7KoWpv7Dc54ubDVJ4XfHRg
49,Just What I Am,Kid Cudi,4/12/13,228026,69,Indicud,https://i.scdn.co/image/ab67616d0000b273b9ab5cc935d2327a7d2bc629,spotify:track:20bJBbPapGQ4bqs0YcA9xY,spotify:artist:0fA0VVWsXO9YnASrzqfmYu,spotify:album:262o5a05pMUDSV2uzo5EwQ
50,Cinnamon Girl,ASL,7/27/18,212574,47,Beach House,https://i.scdn.co/image/ab67616d0000b273fd619cb95c69b0e9906b490b,spotify:track:6JaZQ3gFgf2mH3p6jIbYI0,spotify:artist:2XxgHIPXNgHGbvtBBGZrKm,spotify:album:5shnElSTugZ2ITzWUmDS5L